manufacturer_id	manufacturer_name
8946	WINE BRIDGE IMPORTS INC
2088	CHATEAU DE PARAZA
4466	VIGO IMPORTING COMPANY INC
7	AMERICAN BAKERS COOPERATIVE INC
443	EZRAS DAIRY
744	VITABALL, INC.
9516	BILL KNAPP'S LLC
11844	EAT'N PARK
12606	FORBIDDEN ROOT BREWING COMPANY
335	CUMBERLAND DAIRY INC.
669	TDL GROUP LTD
12930	DUTCHESS BOUQUETS LLC
1187	BOURGEOIS FAMILY SELECTIONS LLC
12491	SCHOLAR & MASON WINES
3534	EUROBUBBLIES INC
8086	HANOVER FOODS CORPORATION
9568	EXCLUSIVELY PET
6121	REAL KOSHER LLC
9495	SWEET NOTE BAKERY INC.
6831	NONNA FOODS
4972	SHAND IMPORT LLC
1449	UPSTATE NIAGARA COOPERATIVE INC
9259	BEN'S JALAPENO KETCHUP CO.
11423	NEW WAVE ENVIRO PRODUCTS
6090	CHAPPELLET WINERY INC
2991	EMBY HOSIERY CORP
6786	FALCONE'S COOKIELAND LTD
1115	JASCO PRODUCTS COMPANY LLC
8510	ARIN ENTERPRISES INC
479	DRUNKIN' MOOSE PICKLIN' COMPANY LLC
115	OLA LOA LLC
8156	MEGA MEX FOODS LLC
320	ROUGH DRAFT BREWING COMPANY
2793	SOUTHERN BELLE DAIRY CO
7183	SOAPBOX SOAPS
7333	OCUSOFT INC
1934	SUR BODEGAS Y VINEDOS SA
9341	DELMONICO'S DISTRIBUTION LLC
9590	KINGBERRY S.A.
9744	OKA PRODUCTS
2247	EAST RIDING FARM
11169	SCENTSIBLE LLC
4369	CARL'S TREE SERVICE & LANDSCAPING
12633	PASQUESI FARMS LLC
9959	TERRE DI PUGLIA
3494	A & H PRODUCTS INC
7604	MCKEE FOODS CORPORATION
6460	SOFIA PRODUCE LLC
4238	COCA-COLA COMPANY
5229	BORDEN INC
11666	LHL VENTURES LLC
7516	SCHONWETTER ENTERPRISES INC
2504	HIBACHI EXPRESS MONGO GROUP LLC
5036	TARAHILL, INC.
5634	DRINK MAPLE LLC
13028	GRILLO'S PICKLES LLC
442	REDSTONE MEADERY
5702	GO PICNIC INC
200	DIVA INTERNATIONAL INC.
10190	JUST GOODS INC
3469	NEGOCIOS Y EMPRENDIMIENTOS ZORZAL S.A.
9236	CDI INTERNATIONAL INC
12706	SAVVI
3692	LINDY'S HOMEMADE ITALIAN ICE
7063	VALLEY VINEYARDS INC.
7904	COLUMBIAN HOME PRODUCTS LLC
9198	LYFE KITCHEN RETAIL INC
10899	TAOS MOUNTAIN ENERGY
9270	TUCK BECKSTOFFER WINES
9541	FDG ASSOCIATES
1071	MARKET & MAIN
6985	CHIQUITA BRANDS INTERNATIONAL
7667	SUN PACIFIC
5338	QUEST PRODUCTS
9631	PINE RIVER PRE-PACK INC
